,斯坦纳点名称,区域,子区域,x,y
122,IDM322,GSO,industrial,594818.44,3989126.06
123,IDM323,GSO,industrial,594822.26,3989134.06
124,IDM324,GSO,industrial,594826.08,3989142.07
125,IDM326,GSO,industrial,594842.01,3989175.79
126,IDM328,GSO,industrial,594848.73,3989189.52
127,IDM332,GSO,industrial,594858.2,3989122.54
128,IDM334,GSO,industrial,594874.25,3989112.77
129,IDM337,GSO,industrial,595373.87,3989837.36
130,IDM339,GSO,industrial,595355.17,3989836.89
131,IDM343,GSO,industrial,595325.3,3989788.13
132,IDM346,GSO,industrial,595410.57,3989829.22
133,IDM348,GSO,industrial,595396.75,3989833.52
134,IDM349,GSO,industrial,595433.56,3989814.8
135,IDM352,GSO,industrial,595439.17,3989810.17
136,IDM354,GSO,industrial,595417.72,3989826.53
137,IDM356,GSO,industrial,595403.41,3989831.91
138,IDM358,GSO,industrial,595445.09,3989804.88
139,IDM359,GSO,industrial,595462.83,3989789.01
140,IDM361,GSO,industrial,595451.0,3989799.59
141,IDM364,GSO,industrial,595470.55,3989783.0
142,IDM365,GSO,industrial,595478.27,3989776.99
143,IDM367,GSO,industrial,595525.77,3989756.25
144,IDM368,GSO,industrial,595519.96,3989757.39
145,IDM369,GSO,industrial,595502.51,3989762.74
146,IDM370,GSO,industrial,595485.98,3989770.98
147,IDM372,GSO,industrial,595541.83,3989753.95
148,IDM373,GSO,industrial,595549.65,3989753.47
149,IDM374,GSO,industrial,595514.16,3989758.53
150,IDM376,GSO,industrial,595519.96,3989757.39
151,IDM381,GSO,industrial,595565.2,3989752.6
152,IDM383,GSO,industrial,595576.0,3989736.83
153,IDM386,GSO,industrial,595574.94,3989745.96
154,IDM387,GSO,industrial,595485.98,3989770.98
155,IDM389,GSO,industrial,595508.33,3989760.64
156,IDM391,GSO,industrial,595438.46,3989686.01
157,IDM396,GSO,industrial,595593.54,3989702.87
158,IDM397,GSO,industrial,595584.79,3989706.86
159,IDM399,GSO,industrial,595620.82,3989693.78
160,IDM400,GSO,industrial,595612.93,3989696.82
161,IDM404,GSO,industrial,595579.18,3989711.37
162,IDM407,GSO,industrial,595576.32,3989730.1
163,IDM408,GSO,industrial,595576.95,3989716.64
164,IDM411,GSO,industrial,595627.61,3989767.55
165,IDM414,GSO,industrial,595632.64,3989777.55
166,IDM415,GSO,industrial,595639.29,3989777.9
167,IDM416,GSO,industrial,595633.05,3989758.5
168,IDM418,GSO,industrial,595653.04,3989773.45
169,IDM419,GSO,industrial,595646.16,3989775.68
170,IDM420,GSO,industrial,595661.39,3989762.67
171,IDM422,GSO,industrial,595679.54,3989727.22
172,IDM424,GSO,industrial,595690.0,3989713.33
173,IDM425,GSO,industrial,595684.77,3989720.28
174,IDM429,GSO,industrial,595667.56,3989739.99
175,IDM430,GSO,industrial,595640.23,3989756.09
176,IDM431,GSO,industrial,595701.39,3989699.67
177,IDM432,GSO,industrial,595707.55,3989692.96
178,IDM435,GSO,industrial,595738.04,3989658.25
179,IDM437,GSO,industrial,595625.36,3989643.31
180,IDM439,GSO,industrial,595635.86,3989654.85
181,IDM440,GSO,industrial,595639.69,3989658.14
182,IDM442,GSO,industrial,595645.66,3989664.46
183,IDM443,GSO,industrial,595651.63,3989670.79
184,IDM445,GSO,industrial,595671.28,3989686.63
185,IDM446,GSO,industrial,595677.27,3989691.57
186,IDM447,GSO,industrial,595683.25,3989696.51
187,IDM448,GSO,industrial,595635.4,3989686.12
188,IDM449,GSO,industrial,595689.24,3989701.44
189,IDM451,GSO,industrial,594825.06,3989441.9
190,IDM453,GSO,industrial,594764.74,3989437.96
191,IDM454,GSO,industrial,594813.17,3989443.67
192,IDM455,GSO,industrial,594856.19,3989469.35
193,IDM456,GSO,industrial,594839.92,3989468.07
194,IDM457,GSO,industrial,594884.2,3989468.99
195,IDM458,GSO,industrial,594869.52,3989469.73
196,IDM459,GSO,industrial,594859.18,3989554.89
197,IDM460,GSO,industrial,594820.45,3989552.1
198,IDM461,GSO,industrial,594836.14,3989557.37
199,IDM464,GSO,industrial,594843.47,3989557.45
200,IDM466,GSO,industrial,594836.14,3989557.37
201,IDM470,GSO,industrial,594884.36,3989546.96
202,IDM473,GSO,industrial,594901.14,3989541.67
203,IDM475,GSO,industrial,594919.11,3989540.03
204,IDM476,GSO,industrial,594900.45,3989466.14
205,IDM478,GSO,industrial,594955.74,3989550.04
206,IDM480,GSO,industrial,594941.4,3989544.47
207,IDM483,GSO,industrial,594962.07,3989552.41
208,IDM485,GSO,industrial,594955.74,3989550.04
209,IDM486,GSO,industrial,594978.25,3989557.45
210,IDM488,GSO,industrial,594986.97,3989557.25
211,IDM489,GSO,industrial,594973.32,3989556.12
212,IDM490,GSO,industrial,595021.85,3989556.47
